,age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label
90,29,Female,7.62,1.1,2.02,5.7,4.7,220,148,8.87,High,Yes,Mild,0
91,30,Female,6.84,1.09,2.85,2.94,8.55,102,170,7.71,Low,No,Moderate,1
92,34,Male,5.65,3.28,1.72,4.86,5.01,187,156,7.95,Low,No,Mild,0
93,31,Male,6.05,2.99,1.66,1.02,6.42,190,80,7.49,Low,No,Mild,0
94,20,Female,3.84,1.03,2.96,4.96,7.0,170,158,5.74,High,Yes,Mild,0
95,31,Male,10.81,4.47,3.87,3.8,6.08,167,144,11.84,High,No,Moderate,1
96,29,Male,10.61,2.52,3.05,3.66,8.13,236,158,13.55,High,Yes,Severe,1
97,23,Male,5.46,4.69,3.69,2.43,5.32,56,159,7.6,Low,Yes,Moderate,1
98,34,Other,4.94,2.81,1.36,2.54,7.75,218,160,6.93,Low,Yes,Not addicted,0
99,19,Male,9.07,2.0,2.65,3.17,6.49,89,70,11.46,Low,No,Severe,1
100,27,Female,9.1,3.76,2.11,2.2,5.49,173,29,9.62,Medium,Yes,Moderate,1
101,27,Female,5.95,0.54,2.99,1.47,6.21,200,73,7.7,High,No,Not addicted,0
102,19,Female,6.93,3.03,0.31,2.22,6.43,123,178,8.47,Low,No,Mild,0
103,23,Female,10.21,3.9,3.33,5.56,4.9,236,42,11.32,High,No,Moderate,1
104,27,Male,9.71,1.72,3.12,0.92,7.35,155,145,10.69,Medium,No,Moderate,1
105,21,Other,4.32,1.58,2.41,4.68,7.45,65,175,6.06,High,No,Mild,0
106,28,Male,4.36,0.88,1.77,2.17,5.74,34,105,6.13,Medium,No,Mild,0
107,19,Other,6.32,2.08,2.58,5.88,4.91,172,144,7.78,High,Yes,Moderate,1
108,24,Male,5.89,3.12,0.6,0.84,4.97,250,102,8.85,Low,Yes,Not addicted,0
109,32,Male,11.92,3.38,2.44,2.5,8.63,119,119,14.36,High,Yes,Severe,1
110,28,Female,3.85,4.23,1.14,4.48,7.45,174,53,5.18,High,Yes,Severe,1
111,30,Other,4.16,4.4,0.34,3.57,7.4,104,47,6.34,High,Yes,Severe,1
112,29,Male,3.16,2.2,3.8,2.38,7.95,69,72,6.16,Low,Yes,Mild,0
113,34,Male,9.94,5.09,3.53,0.71,6.02,216,173,10.77,Medium,Yes,Moderate,1
114,23,Female,9.49,0.74,1.46,4.46,8.86,176,87,11.87,Medium,Yes,Moderate,1
115,33,Male,11.14,1.57,2.71,3.64,6.48,216,87,13.59,High,No,Moderate,1
116,22,Female,10.86,0.79,1.92,2.54,8.7,202,147,13.49,Medium,Yes,Moderate,1
117,32,Other,11.15,1.31,1.75,5.71,5.5,135,104,13.98,Medium,Yes,Severe,1
118,29,Female,5.12,5.97,1.5,0.66,8.69,234,100,7.6,Low,Yes,Severe,1
119,22,Female,9.83,3.08,2.46,5.48,4.59,75,53,11.7,High,No,Moderate,1
120,25,Female,5.71,0.76,1.68,4.87,6.56,48,142,7.7,Low,Yes,Not addicted,0
121,31,Female,3.01,2.44,2.28,1.53,7.51,154,107,3.68,High,Yes,Mild,0
122,19,Male,8.72,5.9,1.01,0.59,8.05,108,76,11.05,High,Yes,Severe,1
123,19,Male,6.17,2.36,2.57,5.07,7.58,198,137,8.25,Low,Yes,Moderate,1
124,27,Female,4.81,4.85,3.54,2.24,5.9,121,154,6.49,Low,Yes,Severe,1
125,19,Female,10.79,2.33,0.5,2.52,8.5,210,127,13.53,Medium,No,Moderate,1
126,33,Male,6.31,4.89,1.07,0.95,6.41,130,169,9.3,Low,No,Severe,1
127,20,Female,5.95,2.13,1.78,4.45,5.25,133,104,7.57,High,No,Mild,0
128,19,Male,3.68,4.01,1.45,4.91,7.56,27,51,6.3,High,No,Moderate,1
129,20,Other,5.12,4.05,1.45,5.72,4.65,59,130,7.99,Medium,No,Moderate,1
130,22,Female,7.77,2.69,2.6,1.87,5.01,208,62,9.52,Medium,Yes,Moderate,1
131,32,Other,4.93,3.87,2.78,5.99,5.4,54,33,6.56,High,No,Not addicted,0
132,28,Male,9.01,4.4,2.2,2.1,5.85,60,178,9.95,Medium,Yes,Moderate,1
133,22,Female,5.13,3.22,1.44,3.65,6.6,161,48,7.16,Low,Yes,Mild,0
134,33,Other,7.73,4.73,3.29,0.91,8.88,184,33,9.35,High,No,Moderate,1
135,23,Female,9.91,1.21,2.01,5.28,8.24,152,54,11.17,Low,No,Moderate,1
136,34,Other,11.05,5.15,1.0,3.99,6.98,52,175,12.31,High,Yes,Moderate,1
137,22,Other,4.54,3.93,3.61,2.36,8.66,30,22,5.24,High,No,Not addicted,0
138,31,Female,8.56,0.67,3.56,3.5,7.39,97,138,9.67,High,No,Severe,1
139,20,Male,9.2,1.37,1.66,3.05,6.03,56,95,11.85,Medium,No,Severe,1
140,29,Male,7.63,1.08,0.97,1.17,6.52,56,39,8.26,Medium,No,Mild,0
141,28,Female,11.4,4.47,0.76,1.38,8.98,139,142,14.1,Medium,Yes,Moderate,1
142,34,Male,7.12,1.82,2.33,0.77,5.77,172,135,8.33,Low,Yes,Moderate,1
143,26,Other,9.55,4.7,1.46,2.7,7.07,69,107,11.43,Low,No,Severe,1
144,26,Other,10.43,3.93,2.44,1.21,4.94,115,101,12.32,Medium,Yes,Moderate,1
145,34,Other,6.61,0.72,0.16,4.42,8.12,152,131,7.48,High,Yes,Moderate,1
146,28,Male,4.46,5.95,2.96,2.15,6.01,232,145,6.29,High,No,Severe,1
147,29,Other,5.98,1.1,1.67,2.19,8.54,243,176,6.55,Medium,No,Not addicted,0
148,19,Male,8.25,1.44,2.52,3.91,8.29,57,77,8.83,High,Yes,Moderate,1
149,32,Other,5.82,1.33,2.76,2.76,7.99,140,30,8.08,High,Yes,Mild,0
150,33,Male,7.73,2.23,0.69,5.52,6.04,110,179,10.24,Medium,No,Mild,0
151,26,Male,8.02,1.74,3.89,2.14,5.8,73,140,9.31,Medium,No,Severe,1
152,35,Female,6.42,5.89,3.27,5.75,8.12,94,25,7.64,High,Yes,Severe,1
153,26,Male,9.73,1.68,3.31,1.99,7.03,89,50,10.5,High,Yes,Moderate,1
154,34,Other,5.03,1.78,0.4,2.32,6.63,194,50,5.54,High,Yes,Mild,0
155,33,Female,7.3,1.6,3.86,2.27,7.41,216,37,9.43,Low,Yes,Mild,0
156,23,Female,11.41,0.7,3.34,4.83,5.34,211,89,14.1,Low,No,Moderate,1
157,27,Other,7.09,4.03,2.1,5.39,5.1,149,134,8.27,Low,No,Moderate,1
158,32,Other,8.83,4.45,0.06,2.35,5.83,192,64,9.77,High,No,Severe,1
159,28,Female,3.78,4.18,0.74,1.27,5.96,83,16,4.93,Low,No,Severe,1
160,27,Other,8.24,3.65,1.05,2.48,5.56,190,45,9.9,Low,No,Severe,1
161,21,Other,8.75,5.67,1.47,1.71,8.81,142,54,10.39,High,No,Severe,1
162,35,Male,11.22,4.67,3.21,5.04,7.93,194,167,13.9,Low,No,Severe,1
163,21,Male,3.56,3.51,2.02,3.65,5.17,103,148,5.16,High,Yes,Mild,0
164,34,Female,7.01,0.81,0.53,2.78,7.04,163,133,9.19,Medium,Yes,Moderate,1
165,18,Female,9.71,3.68,0.18,2.39,4.79,35,32,12.68,Medium,Yes,Severe,1
166,23,Other,9.92,4.71,3.91,4.05,6.39,248,112,11.54,Medium,No,Moderate,1
167,35,Other,4.2,5.23,0.47,5.96,6.27,52,72,6.79,Low,No,Severe,1
168,35,Male,6.82,2.59,0.92,3.03,5.2,68,43,7.4,High,No,Mild,0
169,24,Male,3.61,3.77,1.79,4.2,8.42,82,26,5.12,Low,Yes,Not addicted,0
170,34,Female,11.94,1.79,3.67,3.67,7.1,217,97,13.03,Low,Yes,Severe,1
171,26,Other,3.55,5.72,3.52,5.51,7.32,129,157,5.29,Medium,No,Severe,1
172,31,Other,6.67,2.15,0.74,3.46,5.58,77,91,9.31,Low,No,Mild,0
173,31,Male,11.71,3.57,0.54,1.84,5.42,185,35,14.52,Medium,Yes,Moderate,1
174,26,Male,6.39,3.83,0.16,0.9,8.12,170,158,7.43,Low,No,Moderate,1
175,24,Female,11.43,5.79,0.47,6.0,6.66,82,169,13.69,Medium,Yes,Severe,1
176,30,Male,7.2,4.07,1.23,2.48,8.47,139,40,9.71,High,No,Severe,1
177,29,Male,5.82,0.75,3.46,4.58,4.57,161,164,7.77,Medium,No,Not addicted,0
178,28,Male,5.07,3.63,0.98,3.53,8.75,106,80,7.48,Medium,No,Mild,0
179,29,Female,4.52,4.46,1.95,5.54,6.94,184,30,6.33,Low,Yes,Moderate,1
180,22,Male,10.58,1.77,2.83,0.55,6.78,115,30,12.62,High,No,Severe,1
181,18,Male,7.79,2.76,0.07,4.47,6.91,93,19,9.55,High,No,Mild,0
182,21,Other,7.72,1.83,2.48,1.89,6.09,223,116,8.42,Medium,No,Mild,0
183,25,Other,5.7,5.05,0.32,5.95,7.42,28,38,7.21,Medium,No,Moderate,1
184,18,Other,9.33,0.95,3.38,4.05,5.99,239,39,12.07,Low,Yes,Moderate,1
185,33,Other,5.44,5.58,2.74,2.04,6.94,188,23,6.39,Medium,Yes,Moderate,1
186,22,Other,9.77,4.42,1.59,0.92,5.23,81,160,12.36,Medium,No,Severe,1
187,22,Female,10.11,4.29,0.31,4.6,6.06,45,126,11.19,Low,No,Severe,1
188,18,Other,8.71,4.81,1.8,1.75,6.99,116,125,9.67,High,No,Moderate,1
189,27,Male,10.18,4.42,0.33,1.35,7.7,182,54,12.53,Medium,No,Moderate,1
190,18,Male,11.49,2.95,3.05,1.06,4.89,130,129,13.38,High,No,Moderate,1
191,20,Other,6.19,1.01,2.39,2.28,6.23,94,120,7.66,Low,Yes,Mild,0
192,30,Male,4.53,1.98,1.07,1.3,5.25,90,122,5.78,Low,No,Mild,0
193,33,Female,8.34,1.58,0.43,2.18,8.77,105,173,9.79,Medium,No,Severe,1
194,22,Female,5.7,3.82,2.78,3.13,5.3,121,96,6.93,High,No,Not addicted,0
195,30,Other,5.52,4.82,1.46,5.63,5.4,159,61,7.72,High,Yes,Severe,1
196,24,Other,6.95,2.1,2.77,5.0,8.08,124,142,7.8,Medium,Yes,Moderate,1
197,22,Female,9.44,4.84,0.3,5.95,6.66,122,151,11.21,High,No,Moderate,1
198,35,Female,8.34,5.53,0.44,1.87,7.49,62,180,10.37,High,No,Severe,1
199,21,Female,3.09,1.92,2.04,3.35,7.11,167,71,4.7,Medium,No,Not addicted,0
200,18,Other,7.34,2.12,3.68,0.97,8.24,206,51,8.71,Medium,No,Mild,0
201,33,Other,6.13,1.04,2.89,2.99,4.8,31,44,6.69,Medium,Yes,Mild,0
202,25,Male,7.64,3.54,1.32,2.85,6.58,224,118,9.71,Low,No,Moderate,1
203,24,Female,7.05,2.86,0.02,1.68,5.75,200,31,8.99,High,Yes,Moderate,1
204,24,Female,7.12,1.94,3.45,3.4,7.38,172,114,9.15,High,Yes,Moderate,1
205,32,Male,8.56,4.98,2.82,2.14,7.27,41,49,9.84,Low,No,Moderate,1
206,29,Female,9.24,3.31,1.67,1.26,6.23,67,139,11.33,High,Yes,Moderate,1
207,27,Other,4.26,2.23,1.8,0.79,6.12,22,139,5.1,Medium,No,Mild,0
208,33,Male,6.74,5.12,1.95,0.95,4.64,214,71,7.97,Medium,Yes,Severe,1
209,32,Other,8.09,4.75,1.98,3.31,7.08,88,154,10.65,Medium,Yes,Severe,1
210,24,Male,11.91,1.06,3.32,4.63,5.84,28,130,13.07,Low,No,Moderate,1
211,24,Other,10.3,3.73,1.4,4.41,7.35,62,172,11.15,Low,Yes,Moderate,1
212,29,Female,7.79,3.78,0.67,5.88,5.82,166,83,10.67,High,Yes,Mild,0
213,19,Male,11.93,5.27,0.51,5.26,5.62,202,97,14.5,High,No,Severe,1
214,26,Female,8.65,2.56,0.3,4.87,7.96,123,146,11.02,High,No,Severe,1
215,28,Female,8.24,5.28,3.39,1.01,8.87,182,106,10.87,High,No,Moderate,1
216,24,Male,7.45,2.28,1.13,3.51,5.09,238,139,9.92,High,Yes,Mild,0
217,32,Female,3.15,5.61,0.63,3.01,8.96,129,66,6.14,Low,No,Moderate,1
218,20,Other,8.89,1.88,1.49,5.47,5.24,121,175,10.15,High,Yes,Severe,1
219,20,Female,9.33,0.51,1.91,1.23,5.52,194,128,9.85,High,No,Moderate,1
220,22,Other,7.3,1.76,0.36,4.93,4.96,114,91,8.14,Low,Yes,Mild,0
221,18,Male,8.49,1.4,1.4,1.67,7.87,125,172,10.71,Low,Yes,Moderate,1
222,21,Other,8.31,2.61,3.85,2.23,5.13,90,180,9.02,High,No,Moderate,1
223,27,Other,4.85,3.84,0.75,2.65,7.41,220,76,6.59,Low,Yes,Mild,0
224,20,Male,7.75,5.88,3.95,5.64,5.09,240,160,9.3,High,Yes,Severe,1
225,18,Other,8.29,0.58,0.86,5.57,8.77,121,144,9.51,High,No,Severe,1
226,30,Other,3.74,3.45,2.46,2.03,5.89,150,67,6.68,Low,No,Mild,0
227,20,Other,5.79,2.91,3.81,1.81,5.6,131,44,7.42,High,Yes,Mild,0
228,23,Female,4.07,4.39,2.81,1.4,8.79,153,147,6.53,High,No,Moderate,1
229,22,Female,9.75,5.3,2.93,1.15,8.55,105,124,10.93,Low,No,Moderate,1
230,32,Other,7.6,0.8,3.44,1.42,5.21,217,41,10.34,High,Yes,Mild,0
231,34,Female,3.02,5.22,0.05,0.75,6.14,58,60,5.85,Low,No,Moderate,1
232,25,Male,6.75,4.46,1.09,0.93,6.18,148,28,7.7,High,Yes,Severe,1
233,32,Female,10.79,4.75,1.24,0.98,6.56,114,66,12.02,Medium,Yes,Severe,1
234,33,Other,11.98,4.77,2.93,3.51,8.08,58,16,14.81,Low,Yes,Severe,1
235,18,Male,11.56,0.51,2.63,5.17,7.77,46,67,13.38,Low,No,Severe,1
236,22,Other,9.4,1.01,3.69,5.44,6.84,199,110,11.05,High,Yes,Moderate,1
237,22,Female,8.73,2.67,2.37,0.84,7.48,53,75,9.96,Medium,No,Severe,1
238,32,Male,5.45,0.91,0.81,4.79,7.13,59,42,6.36,Medium,No,Mild,0
239,35,Female,6.22,4.74,1.81,3.05,8.34,43,55,8.74,Medium,Yes,Moderate,1
240,22,Male,3.82,1.87,1.42,3.32,7.55,86,59,4.4,Medium,No,Not addicted,0
241,32,Other,3.92,4.87,0.49,0.84,8.01,76,48,4.92,Medium,No,Moderate,1
242,26,Female,11.26,0.91,3.99,1.59,7.41,227,47,11.99,Medium,Yes,Moderate,1
243,19,Female,4.51,3.66,3.29,2.67,4.63,194,124,5.44,Low,Yes,Mild,0
244,32,Male,10.95,0.69,2.48,1.85,5.83,125,155,12.65,Low,No,Severe,1
245,31,Other,4.8,5.37,2.1,3.97,8.11,223,19,7.77,High,No,Severe,1
246,33,Other,6.1,3.61,1.29,1.99,4.62,172,71,6.67,Medium,Yes,Moderate,1
247,29,Other,9.9,6.0,3.9,1.05,7.46,88,151,12.44,High,Yes,Moderate,1
248,30,Other,6.19,5.12,3.38,1.47,7.17,226,106,8.97,Low,No,Moderate,1
249,24,Other,10.53,4.96,3.88,3.48,5.29,29,38,11.17,High,Yes,Moderate,1
250,33,Other,3.01,5.55,0.81,1.22,7.73,225,97,3.66,Low,Yes,Moderate,1
251,29,Other,11.65,2.55,3.77,2.68,4.95,97,97,12.49,Low,No,Severe,1
252,28,Male,4.57,5.83,2.77,5.61,8.04,77,165,7.11,Medium,No,Severe,1
253,23,Female,9.56,5.72,3.79,2.65,8.97,165,23,10.52,Medium,Yes,Moderate,1
254,22,Female,5.98,0.93,1.39,2.26,7.36,42,178,8.3,Medium,No,Not addicted,0
255,24,Female,5.25,0.87,1.03,1.09,4.51,118,127,7.58,Low,No,Mild,0
256,29,Male,7.91,1.06,1.92,5.25,7.43,195,72,8.82,Low,Yes,Moderate,1
257,28,Other,5.35,1.08,1.37,5.38,5.22,39,155,8.2,Low,No,Mild,0
258,18,Female,6.88,4.09,2.43,2.89,4.74,104,67,9.82,Medium,No,Severe,1
259,25,Male,3.86,2.66,2.2,3.2,4.75,20,124,4.58,High,No,Not addicted,0
260,18,Other,4.86,4.01,3.91,3.1,5.02,220,116,6.54,High,No,Moderate,1
261,35,Other,6.49,2.54,1.53,1.53,4.7,132,134,7.65,Medium,Yes,Mild,0
262,21,Other,3.77,2.39,2.17,5.84,7.15,161,30,6.37,High,No,Mild,0
263,25,Female,7.29,0.93,3.61,4.43,6.76,250,147,9.79,High,Yes,Mild,0
264,23,Female,11.54,1.42,0.85,1.56,4.69,40,126,12.54,High,Yes,Severe,1
265,20,Female,3.78,3.56,2.21,5.21,6.84,243,18,6.25,High,No,Not addicted,0
266,22,Female,4.33,3.73,3.03,5.67,8.66,164,40,6.79,High,No,Mild,0
267,30,Female,8.89,3.65,1.89,1.45,6.31,178,170,11.09,Medium,Yes,Severe,1
268,25,Male,3.44,3.11,1.07,2.55,6.02,223,92,4.72,Medium,Yes,Not addicted,0
269,27,Other,11.77,2.94,3.3,1.98,6.38,185,37,12.74,Low,No,Severe,1
270,29,Male,10.39,3.33,0.64,2.21,6.78,54,149,13.09,Low,Yes,Moderate,1
271,19,Male,5.25,3.01,3.67,4.38,5.73,230,133,7.01,High,Yes,Not addicted,0
272,29,Male,7.4,2.95,3.84,3.11,6.98,108,56,9.99,Medium,Yes,Moderate,1
273,30,Female,3.45,5.2,3.12,1.68,5.5,77,67,4.62,Medium,Yes,Moderate,1
274,22,Female,8.83,3.81,0.03,1.89,8.12,98,179,10.02,Medium,No,Severe,1
275,24,Other,7.2,4.22,3.3,2.68,4.96,150,110,9.1,High,No,Severe,1
276,21,Other,7.34,2.35,1.11,2.29,5.75,187,91,8.31,High,Yes,Mild,0
277,30,Female,8.94,4.24,2.89,4.1,8.99,86,122,10.45,High,Yes,Moderate,1
278,25,Male,9.18,4.01,1.9,5.67,6.11,96,58,11.78,High,Yes,Severe,1
279,33,Other,4.15,1.92,3.23,4.7,5.32,194,100,6.29,Low,No,Not addicted,0
280,27,Male,6.78,5.38,1.49,3.72,6.59,50,135,7.41,High,Yes,Severe,1
281,34,Male,4.08,4.24,2.12,2.77,8.42,58,50,7.06,Medium,No,Severe,1
282,28,Male,10.76,1.49,0.32,2.33,8.94,100,177,11.41,Medium,No,Moderate,1
283,23,Other,7.41,4.7,0.35,3.88,7.35,123,124,10.32,Medium,Yes,Moderate,1
284,24,Female,9.58,5.73,3.57,4.66,6.89,24,16,11.65,Low,Yes,Severe,1
285,22,Other,3.92,3.27,1.22,0.86,4.71,94,131,6.24,High,No,Mild,0
286,22,Other,6.08,5.46,1.44,1.54,8.77,227,118,6.63,Low,Yes,Moderate,1
287,18,Other,8.31,1.43,1.47,4.08,4.67,244,178,9.45,High,Yes,Moderate,1
288,21,Female,8.88,0.61,2.76,2.79,6.21,160,79,10.57,Low,Yes,Moderate,1
289,31,Male,8.95,4.14,1.08,3.83,5.12,232,41,10.73,High,Yes,Severe,1
